Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
2269071,000002AE,false,Rx,0,8,FF,00,FF,64,FF,AF,64,00,
2269073,00000284,false,Rx,0,8,C8,80,0C,FF,FF,FF,FF,0F,
2269075,000002EB,false,Rx,0,8,5D,FE,11,11,11,62,11,FF,
2270173,000002A7,false,Rx,0,5,A8,F2,FE,FF,14,00,00,00,
2271095,0000026C,false,Rx,0,8,79,8A,F1,FF,FF,FF,FF,FF,
2271097,0000008F,false,Rx,0,8,FF,FF,00,7D,F2,FF,FF,FF,
2273703,00000412,false,Rx,0,4,03,50,00,00,00,00,00,00,
2273705,00000414,false,Rx,0,4,03,54,00,00,00,00,00,00,
2273708,000001C0,false,Rx,0,8,B8,3A,00,40,63,55,55,57,
2273709,00000376,false,Rx,0,3,25,19,11,00,00,00,00,00,
2273711,00000199,false,Rx,0,6,77,F7,E1,7E,00,20,00,00,
2274724,0000019A,false,Rx,0,6,37,F7,3B,7F,00,10,00,00,
2274727,000002F4,false,Rx,0,2,00,00,00,00,00,00,00,00,
2275700,00000314,false,Rx,0,5,50,80,1D,FF,FF,00,00,00,
2275703,00000094,false,Rx,0,8,03,50,00,00,FF,FF,FF,FF,
2278727,000000D9,false,Rx,0,8,77,F4,00,10,00,F0,7F,CF,
2278730,000000A5,false,Rx,0,8,CF,02,FF,F7,FF,00,00,C1,
2278733,000000A7,false,Rx,0,7,B6,F2,FF,F0,FF,FF,0F,00,
2278734,000000DC,false,Rx,0,6,E3,02,22,D0,07,EE,00,00,
2279670,00000163,false,Rx,0,8,C7,F7,04,25,13,15,04,F5,
2279673,000001A1,false,Rx,0,5,B3,CB,00,00,81,00,00,00,
2283952,00000083,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
2283955,00000254,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
2284336,0000019F,false,Rx,0,6,40,F8,FF,7F,00,10,00,00,
2284339,000001DB,false,Rx,0,8,64,00,0A,6E,C0,FF,00,FF,
2285883,0000012F,false,Rx,0,8,5A,72,FA,DD,FF,FF,FF,00,
2285887,00000096,false,Rx,0,8,64,00,54,AA,01,FF,FF,FF,
2288180,000000D9,false,Rx,0,8,2A,F5,00,10,00,F0,7F,CF,
2288183,000000FA,false,Rx,0,8,05,86,12,08,76,76,76,00,
2288185,00000287,false,Rx,0,8,C1,0C,FE,F0,3D,FF,30,FD,
2288186,000002AE,false,Rx,0,8,FF,00,FF,64,FF,AF,64,00,
2289671,00000173,false,Rx,0,8,C3,F6,00,02,20,00,D2,1F,
2291971,000000AB,false,Rx,0,8,99,F4,04,00,00,D0,FF,FF,
2291974,00000197,false,Rx,0,4,3E,09,FE,FC,00,00,00,00,
2291976,00000276,false,Rx,0,8,C0,00,00,00,00,C0,FF,FF,
2294479,00000199,false,Rx,0,6,61,F9,E1,7E,00,20,00,00,
2294483,0000019A,false,Rx,0,6,6F,F9,3F,7F,00,10,00,00,
2295846,00000220,false,Rx,0,8,63,AE,E5,FF,FF,FF,FF,FF,
2298043,000000D9,false,Rx,0,8,CD,F6,00,10,00,F0,7F,CF,
2298046,000000A5,false,Rx,0,8,92,03,FF,F7,FF,00,00,C1,
2298049,00000095,false,Rx,0,8,64,68,96,00,00,F0,00,00,
2298050,000001CE,false,Rx,0,8,64,68,96,00,00,F0,00,00,
2298052,000000A7,false,Rx,0,7,F0,F3,FF,F0,FF,FF,0F,00,
2299139,000000DC,false,Rx,0,6,89,03,22,D0,07,EE,00,00,
2299142,000001CF,false,Rx,0,8,64,68,96,00,00,F0,00,00,
2299143,00000201,false,Rx,0,8,1D,57,4F,66,00,FF,F0,FF,
2299146,00000302,false,Rx,0,7,EE,F9,B6,6F,01,00,00,00,
2299147,000003FD,false,Rx,0,5,16,05,20,FF,FF,00,00,00,
2300578,000001A1,false,Rx,0,5,47,CC,00,00,81,00,00,00,
2303266,00000083,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
2303268,00000254,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
2304446,0000019F,false,Rx,0,6,C8,FA,07,80,00,10,00,00,
2305771,0000003C,false,Rx,0,8,2C,AC,03,92,01,00,2A,FF,
2307929,0000031C,false,Rx,0,8,FF,3F,FF,FF,09,00,40,FD,
2307933,000000FA,false,Rx,0,8,05,FD,FD,FD,FD,FD,FD,E9,
2307935,000000D9,false,Rx,0,8,90,F7,00,10,00,F0,7F,CF,
2307936,000002AE,false,Rx,0,8,FF,00,FF,64,FF,AF,64,00,
2309685,00000265,false,Rx,0,8,F7,66,88,13,70,30,FF,FF,
2309688,000001DD,false,Rx,0,8,00,00,00,F0,FF,FF,FF,FF,
2310701,000001C3,false,Rx,0,8,7E,43,00,00,00,00,00,00,
2310703,0000008F,false,Rx,0,8,FF,FF,00,7D,F2,FF,FF,FF,
2313522,0000021D,false,Rx,0,8,00,00,00,FF,FF,FF,FF,FF,
2313555,00000203,false,Rx,0,8,CA,83,00,FF,FF,FF,00,C0,
2314110,000001C0,false,Rx,0,8,E5,3B,00,40,63,55,55,57,
2314113,00000199,false,Rx,0,6,B3,FB,D7,7E,00,20,00,00,
2314115,0000019A,false,Rx,0,6,F5,FB,3B,7F,00,10,00,00,
2315736,000000CA,false,Rx,0,8,6E,27,00,00,00,00,FD,F7,
2315739,00000096,false,Rx,0,8,64,00,54,AA,01,FF,FF,FF,
2316854,000001E4,false,Rx,0,8,3F,0B,61,61,11,11,11,11,
2316857,000002EB,false,Rx,0,8,5C,F0,11,11,11,62,11,FF,
2318514,000000D9,false,Rx,0,8,CC,F8,00,10,00,F0,7F,CF,
2318516,000000A5,false,Rx,0,8,1C,04,FF,F7,FF,00,00,C1,
2318518,000000A7,false,Rx,0,7,3F,F4,FF,F0,FF,FF,0F,00,
2318519,000000DC,false,Rx,0,6,82,04,22,D0,07,EE,00,00,
2319680,0000032B,false,Rx,0,8,B5,00,AB,37,FF,FF,FF,FF,
2319683,000001A1,false,Rx,0,5,DA,CD,00,00,81,00,00,00,
2320714,000003AF,false,Rx,0,8,50,FD,26,FF,FF,FF,FF,FF,
2320716,00000384,false,Rx,0,8,FF,FF,F7,FF,FF,FF,FF,FF,
2321820,000005E0,false,Rx,0,8,8C,01,00,00,00,00,00,FF,
2321822,00000197,false,Rx,0,4,B2,0A,FE,FC,00,00,00,00,
2322962,00000296,false,Rx,0,5,22,E0,FE,FF,14,00,00,00,
2322965,00000083,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
2322966,00000254,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
2324603,000001BB,false,Rx,0,8,FF,FF,00,FF,FF,FF,FF,FF,
2324608,0000019F,false,Rx,0,6,D2,FC,FD,7F,00,10,00,00,
2324610,0000036E,false,Rx,0,5,55,F8,FE,FF,14,00,00,00,
2324612,000001DB,false,Rx,0,8,64,00,0A,6E,C0,FF,00,FF,
2328394,000000FA,false,Rx,0,8,00,54,00,E0,7F,01,0A,C4,
2328397,000000D9,false,Rx,0,8,91,F9,00,10,00,F0,7F,CF,
2328398,000002AE,false,Rx,0,8,FF,00,FF,64,FF,AF,64,00,
2329657,000001B3,false,Rx,0,8,C4,12,00,03,00,FF,FF,8E,
2329660,0000043D,false,Rx,0,8,0A,D4,CF,68,51,1B,80,61,
2334659,00000199,false,Rx,0,6,D4,FD,E1,7E,00,20,00,00,
2334662,0000019A,false,Rx,0,6,94,FD,3B,7F,00,10,00,00,
2337305,00000510,false,Rx,0,8,40,10,00,02,03,92,01,00,
2337307,000000D9,false,Rx,0,8,76,FA,00,10,00,F0,7F,CF,
2338707,000000A5,false,Rx,0,8,41,05,FF,F7,FF,00,00,C1,
2338710,000000A7,false,Rx,0,7,79,F5,FF,F0,FF,FF,0F,00,
2338711,000000DC,false,Rx,0,6,E8,05,22,D0,07,EE,00,00,
2339686,00000173,false,Rx,0,8,25,FB,00,02,20,00,D2,1F,
2339689,00000302,false,Rx,0,7,EB,FD,B6,6F,01,00,00,00,
2339690,000001A1,false,Rx,0,5,60,CE,00,00,81,00,00,00,
2343716,00000083,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
2343718,00000254,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
2344669,0000019F,false,Rx,0,6,21,FE,FF,7F,00,10,00,00,
2345803,000002A5,false,Rx,0,2,FE,FE,00,00,00,00,00,00,
2345806,00000096,false,Rx,0,8,64,00,54,AA,01,FF,FF,FF,
2346876,000002BB,false,Rx,0,5,8F,FC,3F,00,F2,00,00,00,
2346878,0000030C,false,Rx,0,5,2F,FE,FE,FF,14,00,00,00,
2348589,000000D9,false,Rx,0,8,2B,FB,00,10,00,F0,7F,CF,
2348591,000000FA,false,Rx,0,8,02,C0,08,00,C8,07,D0,D7,
2348593,000002AE,false,Rx,0,8,FF,00,FF,64,FF,AF,64,00,
2349649,00000201,false,Rx,0,8,33,57,64,66,00,FF,F0,FF,
2349651,000002C4,false,Rx,0,8,00,00,00,FF,FF,00,00,0F,
2349653,0000029D,false,Rx,0,8,FF,FF,FF,FF,0F,FF,FF,FF,
2349654,000002A7,false,Rx,0,5,35,F3,FE,FF,14,00,00,00,
2351264,0000008F,false,Rx,0,8,FF,FF,00,7D,F2,FF,FF,FF,
2351267,00000197,false,Rx,0,4,3D,0B,FE,FC,00,00,00,00,
2354126,000001C0,false,Rx,0,8,6B,3C,00,40,63,55,55,57,
2354129,00000199,false,Rx,0,6,7C,F0,E1,7E,00,20,00,00,
2354131,0000019A,false,Rx,0,6,32,F0,45,7F,00,10,00,00,
2358694,000000D9,false,Rx,0,8,A5,FC,00,10,00,F0,7F,CF,
2358696,000000A5,false,Rx,0,8,A6,06,FF,F7,FF,00,00,C1,
2358698,00000095,false,Rx,0,8,64,68,96,00,00,F0,00,00,
2358700,000001CE,false,Rx,0,8,64,68,96,00,00,F0,00,00,
2358701,000000A7,false,Rx,0,7,B3,F6,FF,F0,FF,FF,0F,00,
2359139,000000DC,false,Rx,0,6,56,06,22,D0,07,EE,00,00,
2359142,000001CF,false,Rx,0,8,64,68,96,00,00,F0,00,00,
2360297,000001A1,false,Rx,0,5,95,C0,00,00,81,00,00,00,
2363718,00000083,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
2363720,00000254,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
2364665,0000019F,false,Rx,0,6,5D,F1,FF,7F,00,10,00,00,
2364668,000001DB,false,Rx,0,8,64,00,0A,6E,C0,FF,00,FF,
2364670,000002E0,false,Rx,0,6,3D,FC,75,40,24,FF,00,00,
2365856,00000065,false,Rx,0,8,34,88,30,03,FF,FF,FF,FF,
2368688,000000FA,false,Rx,0,8,03,10,08,02,38,59,28,CA,
2368690,000000D9,false,Rx,0,8,F8,FD,00,10,00,F0,7F,CF,
2368693,000002AE,false,Rx,0,8,FF,00,FF,64,FF,AF,64,00,
2368694,000001AE,false,Rx,0,3,07,65,1A,00,00,00,00,00,
2369141,000001E4,false,Rx,0,8,B1,0C,61,61,11,11,11,11,
2369144,00000284,false,Rx,0,8,C8,80,0C,FF,FF,FF,FF,0F,
2369146,000002EB,false,Rx,0,8,01,F1,11,11,11,62,11,FF,
2371319,000000C0,false,Rx,0,2,FD,40,00,00,00,00,00,00,
2373988,00000376,false,Rx,0,3,F1,1A,11,00,00,00,00,00,
2373991,00000199,false,Rx,0,6,A8,F2,E1,7E,00,20,00,00,
2373992,0000019A,false,Rx,0,6,E8,F2,3B,7F,00,10,00,00,
2375849,00000096,false,Rx,0,8,64,00,54,AA,01,FF,FF,FF,
2378665,000000D9,false,Rx,0,8,1F,FE,00,10,00,F0,7F,CF,
2378668,000000A5,false,Rx,0,8,FB,07,FF,F7,FF,00,00,C1,
2378669,000000A7,false,Rx,0,7,F5,F7,FF,F0,FF,FF,0F,00,
2378671,000000DC,false,Rx,0,6,3C,07,22,D0,07,EE,00,00,
2379678,00000163,false,Rx,0,8,F3,F2,04,25,13,15,04,F5,
2379681,00000302,false,Rx,0,7,2E,F2,B6,6F,01,00,00,00,
2379683,000001A1,false,Rx,0,5,08,C1,00,00,81,00,00,00,
2381915,00000197,false,Rx,0,4,B7,0C,FE,FC,00,00,00,00,
2383565,00000083,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
2383568,00000254,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
2384687,0000019F,false,Rx,0,6,AE,F3,FD,7F,00,10,00,00,
2384690,00000301,false,Rx,0,7,07,C3,04,72,FF,FF,2F,00,
2385807,0000012F,false,Rx,0,8,07,73,FA,DD,FF,FF,FF,00,
2388696,000000FA,false,Rx,0,8,05,86,12,08,76,76,76,00,
2388699,000000D9,false,Rx,0,8,1E,F0,00,10,00,F0,7F,CF,
2389027,000002AE,false,Rx,0,8,FF,00,FF,64,FF,AF,64,00,
2389030,000003E9,false,Rx,0,8,FF,FF,0F,FF,FF,FF,FF,FF,
2389033,00000173,false,Rx,0,8,4D,F1,00,02,20,00,D2,1F,
2391306,0000008F,false,Rx,0,8,FF,FF,00,7D,F2,FF,FF,FF,
2394169,000001C0,false,Rx,0,8,36,3D,00,40,63,55,55,57,
2394171,00000199,false,Rx,0,6,C9,F4,E1,7E,00,20,00,00,
2394173,0000019A,false,Rx,0,6,54,F4,40,7F,00,10,00,00,
2395699,000000CA,false,Rx,0,8,32,28,00,00,00,00,FD,F7,
2397769,0000037F,false,Rx,0,2,FF,F0,00,00,00,00,00,00,
2397771,00000297,false,Rx,0,7,B6,F0,F0,E0,F0,F0,A8,00,
2397773,000000D9,false,Rx,0,8,43,F1,00,10,00,F0,7F,CF,
2397774,000000A5,false,Rx,0,8,A7,08,FF,F7,FF,00,00,C1,
2398933,000000A7,false,Rx,0,7,30,F8,FF,F0,FF,FF,0F,00,
2398936,000000DC,false,Rx,0,6,40,08,22,D0,07,EE,00,00,
2398938,000003FD,false,Rx,0,5,AC,06,20,FF,FF,00,00,00,
2398940,00000201,false,Rx,0,8,48,57,79,66,00,FF,F0,FF,
2398942,000003B4,false,Rx,0,8,FF,FF,FC,FF,F8,F8,00,FF,
2400336,000001A1,false,Rx,0,5,B2,C2,00,00,81,00,00,00,
2403658,00000083,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
2403661,00000254,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
2404444,0000019F,false,Rx,0,6,B4,F5,07,80,00,10,00,00,
2404447,0000036F,false,Rx,0,5,07,F9,FE,FF,14,00,00,00,
2404448,000001DB,false,Rx,0,8,64,00,0A,6E,C0,FF,00,FF,
2405824,0000003C,false,Rx,0,8,71,AD,03,92,01,00,2A,FF,
2405827,00000096,false,Rx,0,8,64,00,54,AA,01,FF,FF,FF,
2407933,000000FA,false,Rx,0,8,05,FD,FD,FD,FD,FD,FD,E9,
2407936,000000D9,false,Rx,0,8,A4,F2,00,10,00,F0,7F,CF,
2409052,000002AE,false,Rx,0,8,FF,00,FF,64,FF,AF,64,00,
2409054,000001C8,false,Rx,0,8,00,00,00,00,F0,31,FF,FF,
2409056,00000265,false,Rx,0,8,F7,66,88,13,70,30,FF,FF,
2409058,00000340,false,Rx,0,2,F3,FF,00,00,00,00,00,00,
2409059,0000042B,false,Rx,0,4,95,1F,72,30,00,00,00,00,
2411970,00000197,false,Rx,0,4,38,0D,FE,FC,00,00,00,00,
2414443,00000199,false,Rx,0,6,1D,F6,E1,7E,00,20,00,00,
2414446,0000019A,false,Rx,0,6,3B,F6,4A,7F,00,10,00,00,
2416691,000002EB,false,Rx,0,8,E6,F2,11,11,11,62,11,FF,
2416694,000001E4,false,Rx,0,8,EC,0D,61,61,11,11,11,11,
2418039,000000D9,false,Rx,0,8,F9,F3,00,10,00,F0,7F,CF,
2418042,000000A5,false,Rx,0,8,FA,09,FF,F7,FF,00,00,C1,
2418044,00000095,false,Rx,0,8,64,68,96,00,00,F0,00,00,
2418045,000001CE,false,Rx,0,8,64,68,96,00,00,F0,00,00,
2418047,000000A7,false,Rx,0,7,76,F9,FF,F0,FF,FF,0F,00,
2419431,000000DC,false,Rx,0,6,2A,09,22,D0,07,EE,00,00,
2419434,000001CF,false,Rx,0,8,64,68,96,00,00,F0,00,00,
2419437,00000302,false,Rx,0,7,2B,F6,B6,6F,01,00,00,00,
2419439,0000032B,false,Rx,0,8,B5,00,AC,37,FF,FF,FF,FF,
2420671,000001A1,false,Rx,0,5,2F,C3,00,00,81,00,00,00,
2423298,00000083,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
2423301,00000254,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
2424703,0000019F,false,Rx,0,6,95,F7,09,80,00,10,00,00,
2428037,000000FA,false,Rx,0,8,00,64,00,E0,7F,01,0A,C4,
2428040,000000D9,false,Rx,0,8,77,F4,00,10,00,F0,7F,CF,
2429737,000002AE,false,Rx,0,8,FF,00,FF,64,FF,AF,64,00,
2429740,000001B3,false,Rx,0,8,C4,12,00,04,00,FF,FF,8F,
2430077,000002A7,false,Rx,0,5,C1,F4,FE,FF,14,00,00,00,
2430080,0000008F,false,Rx,0,8,FF,FF,00,7D,F2,FF,FF,FF,
2434221,000001C0,false,Rx,0,8,D1,3E,00,40,63,55,55,57,
2434224,00000199,false,Rx,0,6,0B,F8,E1,7E,00,20,00,00,
2434225,0000019A,false,Rx,0,6,2D,F8,4A,7F,00,10,00,00,
2435702,00000314,false,Rx,0,5,50,80,1D,FF,FF,00,00,00,
2435706,00000096,false,Rx,0,8,64,00,54,AA,01,FF,FF,FF,
2435708,00000349,false,Rx,0,5,FE,FF,FE,FF,FF,00,00,00,
2437309,00000510,false,Rx,0,8,40,10,00,02,03,92,01,00,
2437313,000000D9,false,Rx,0,8,2A,F5,00,10,00,F0,7F,CF,
2438770,000000A5,false,Rx,0,8,1D,0A,FF,F7,FF,00,00,C1,
2438773,000000A7,false,Rx,0,7,BC,FA,FF,F0,FF,FF,0F,00,
2438774,000000DC,false,Rx,0,6,94,0A,22,D0,07,EE,00,00,
2439672,00000173,false,Rx,0,8,C3,F6,00,02,20,00,D2,1F,
2439675,000001A1,false,Rx,0,5,DB,C4,00,00,81,00,00,00,
2442643,00000197,false,Rx,0,4,B4,0E,FE,FC,00,00,00,00,
2443698,00000083,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
2443700,00000254,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
2443703,00000416,false,Rx,0,8,9A,00,00,80,11,02,62,F2,
2444675,0000019F,false,Rx,0,6,38,F9,03,80,00,10,00,00,
2444679,000001DB,false,Rx,0,8,64,00,0A,6E,C0,FF,00,FF,
2445764,000001E1,false,Rx,0,6,6A,F4,00,FF,FF,FF,00,00,
2446816,000002BB,false,Rx,0,5,12,FD,3F,00,F2,00,00,00,
2446819,00000540,false,Rx,0,8,40,40,00,00,00,00,01,00,
2448684,000000D9,false,Rx,0,8,CD,F6,00,10,00,F0,7F,CF,
2448687,000000FA,false,Rx,0,8,02,C0,08,00,C8,07,D0,D7,
2448689,000002AE,false,Rx,0,8,FF,00,FF,64,FF,AF,64,00,
2449684,00000201,false,Rx,0,8,5D,57,8F,66,00,FF,F0,FF,
2449687,000002C4,false,Rx,0,8,00,00,00,FF,FF,00,00,0F,
2451311,0000029D,false,Rx,0,8,FF,FF,FF,FF,0F,FF,FF,FF,
2454662,00000199,false,Rx,0,6,DF,FA,E1,7E,00,20,00,00,
2454665,0000019A,false,Rx,0,6,91,FA,45,7F,00,10,00,00,
2458099,000000D9,false,Rx,0,8,90,F7,00,10,00,F0,7F,CF,
2458101,000000A5,false,Rx,0,8,40,0B,FF,F7,FF,00,00,C1,
2458103,000000A7,false,Rx,0,7,FA,FB,FF,F0,FF,FF,0F,00,
2459043,000000DC,false,Rx,0,6,FE,0B,22,D0,07,EE,00,00,
2459045,00000302,false,Rx,0,7,24,FA,B6,6F,01,00,00,00,
2459047,000003A1,false,Rx,0,8,00,01,00,03,00,C0,00,F0,
2460264,000001A1,false,Rx,0,5,46,C5,00,00,81,00,00,00,
2460266,0000026B,false,Rx,0,8,BF,15,FD,FF,FF,FF,FF,FF,
2463670,00000083,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
2463673,00000254,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
2464682,0000019F,false,Rx,0,6,57,FB,09,80,00,10,00,00,
2464684,000002E0,false,Rx,0,6,57,FD,75,40,24,FF,00,00,
2465862,00000065,false,Rx,0,8,69,89,30,03,FF,FF,FF,FF,
2465865,00000096,false,Rx,0,8,64,00,54,AA,01,FF,FF,FF,
2467800,000001AE,false,Rx,0,3,07,65,1A,00,00,00,00,00,
2467802,000000FA,false,Rx,0,8,03,10,08,02,38,59,28,CA,
2467804,000000D9,false,Rx,0,8,CC,F8,00,10,00,F0,7F,CF,
2467806,000001E4,false,Rx,0,8,0B,0E,61,61,11,11,11,11,
2467807,00000145,false,Rx,0,3,C8,9F,F0,00,00,00,00,00,
2468866,000002AE,false,Rx,0,8,FF,00,FF,64,FF,AF,64,00,
2468869,000002EB,false,Rx,0,8,BB,F3,11,11,11,62,11,FF,
2468871,00000284,false,Rx,0,8,C8,80,0C,FF,FF,FF,FF,0F,
2468872,0000019D,false,Rx,0,8,0A,3E,92,02,FF,FF,FF,FF,
2468874,000003D8,false,Rx,0,8,CF,C9,FF,FF,FF,FF,FF,FF,
2471357,0000008F,false,Rx,0,8,FF,FF,00,7D,F2,FF,FF,FF,
2471360,00000197,false,Rx,0,4,BD,00,FE,FC,00,00,00,00,
2474113,000001C0,false,Rx,0,8,D0,30,00,40,63,55,55,57,
2474116,000002F7,false,Rx,0,6,02,9B,8A,09,11,F2,00,00,
2474118,00000199,false,Rx,0,6,BE,FC,E1,7E,00,20,00,00,
2474120,0000019A,false,Rx,0,6,63,FC,3A,7F,00,10,00,00,
2474122,000000CA,false,Rx,0,8,6F,29,00,00,00,00,FD,F7,
2474124,00000376,false,Rx,0,3,BD,1B,11,00,00,00,00,00,
2475369,000005C0,false,Rx,0,8,F9,33,F1,FF,FF,FF,FF,FF,
2475371,00000346,false,Rx,0,4,D0,50,21,FF,00,00,00,00,
2475373,000005C0,false,Rx,0,8,FA,33,C1,FF,FC,CF,FF,C0,
2475375,000002F0,false,Rx,0,5,75,D5,40,D0,00,00,00,00,
2478073,000000D9,false,Rx,0,8,91,F9,00,10,00,F0,7F,CF,
2478076,000000A5,false,Rx,0,8,CE,0C,FF,F7,FF,00,00,C1,
2478078,00000095,false,Rx,0,8,64,68,96,00,00,F0,00,00,
2478080,000000A7,false,Rx,0,7,35,FC,FF,F0,FF,FF,0F,00,
2478081,000001CE,false,Rx,0,8,64,68,96,00,00,F0,00,00,
2479196,000000DC,false,Rx,0,6,F5,0C,22,D0,07,EE,00,00,
2479199,000001CF,false,Rx,0,8,64,68,96,00,00,F0,00,00,
2479201,00000163,false,Rx,0,8,F2,FC,04,25,13,15,04,F5,
2480236,000001A1,false,Rx,0,5,FC,C6,00,00,81,00,00,00,
2483342,00000083,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
